10|2025|1,1,1,1,1,1,1,1,1,1,1,1
01|2025|1,1,1,1,1,1,1,1,1,1,1,1
02|2025|1,1,1,1,1,1,1,1,1,1,1,1
03|2025|1,1,1,1,1,1,1,1,1,1,1,1
08|2025|1,1,1,1,1,1,1,1,1,1,1,1
08|2026|1,1,1,0,0,0,0,0,0,0,0,0
05|2026|0,1,0,0,0,0,0,0,0,0,0,0
01|2026|1,1,0,0,0,0,0,0,0,0,0,0
02|2026|1,1,1,0,0,0,0,0,0,0,0,0
03|2026|1,1,1,0,0,0,0,0,0,0,0,0
04|2025|1,1,1,1,1,1,1,1,1,1,1,1
04|2026|1,1,1,0,0,0,0,0,0,0,0,0
05|2025|1,1,0,1,1,1,0,1,1,0,0,1
06|2025|1,1,1,1,1,1,0,1,1,1,1,1
06|2026|1,1,1,0,0,0,0,0,0,0,0,0
07|2026|1,1,1,0,0,0,0,0,0,0,0,0
07|2025|1,1,1,1,1,1,1,1,1,1,1,1
09|2025|1,1,1,1,1,1,1,1,1,1,1,1
09|2026|1,1,0,0,0,0,0,0,0,0,0,0
10|2026|1,0,0,0,0,0,0,0,0,0,0,0
11|2025|1,1,1,1,1,0,0,0,1,1,1,0
11|2026|0,0,0,0,0,0,0,0,0,0,0,0
